ID,Name,InChI,InChIKey,SMILES,Solubility,Prediction
B-1,3-pentyl nitrate,"InChI=1S/C5H11NO3/c1-3-5(4-2)9-6(7)8/h5H,3-4H2,1-2H3",WQZKKVJFBZPJSU-UHFFFAOYSA-N,CCC(CC)O[N+]([O-])=O,-2.4522,-2.16
B-2,5-bromo-3-hydroxybenzaldehyde,"InChI=1S/C7H5BrO2/c8-6-1-5(4-9)2-7(10)3-6/h1-4,10H",XVFGERBEZKEGSS-UHFFFAOYSA-N,Oc1cc(Br)cc(C=O)c1,-3.2502,-1.94
B-3,meperidine,"InChI=1S/C15H21NO2.ClH/c1-3-18-14(17)15(9-11-16(2)12-10-15)13-7-5-4-6-8-13;/h4-8H,3,9-12H2,1-2H3;1H",WCNLCIJMFAJCPX-UHFFFAOYSA-N,[H+].[Cl-].CCOC(=O)C1(CCN(C)CC1)c2ccccc2,-1.6368,-2.35
B-4,hydroxyphenamate,"InChI=1S/C11H15NO3/c1-2-11(14,8-15-10(12)13)9-6-4-3-5-7-9/h3-7,14H,2,8H2,1H3,(H2,12,13)",WAFIYOULDIWAKR-UHFFFAOYSA-N,CCC(O)(COC(N)=O)c1ccccc1,-0.9227,-1.75
B-5,lactic acid,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)",JVTAAEKCZFNVCJ-UHFFFAOYSA-N,CC(O)C(O)=O,1.0454,0.79
B-6,estradiol,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-4.8789,-4.11
B-7,"2,6-dichlorobenzoic acid","InChI=1S/C7H4Cl2O2/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H,10,11)",MRUDNSFOFOQZDA-UHFFFAOYSA-N,OC(=O)c1c(Cl)cccc1Cl,-1.1309,-2.85
B-8,"2,3,6-trichlorobenzoic acid","InChI=1S/C7H3Cl3O2/c8-3-1-2-4(9)6(10)5(3)7(11)12/h1-2H,(H,11,12)",XZIDTOHMJBOSOX-UHFFFAOYSA-N,OC(=O)c1c(Cl)ccc(Cl)c1Cl,-1.4666,-3.35
B-9,thalidomide,"InChI=1S/C13H10N2O4/c16-10-6-5-9(11(17)14-10)15-12(18)7-3-1-2-4-8(7)13(15)19/h1-4,9H,5-6H2,(H,14,16,17)",UEJJHQNACJXSKW-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,-2.6758,-2
B-10,6-purinethiol hydrate,"InChI=1S/C5H4N4S/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",GLVAUDGFNGKCSF-UHFFFAOYSA-N,S=C1N=CNc2nc[nH]c12,-0.3468,-2.32
B-11,desipramine,"InChI=1S/C18H22N2/c1-19-13-6-14-20-17-9-4-2-7-15(17)11-12-16-8-3-5-10-18(16)20/h2-5,7-10,19H,6,11-14H2,1H3",HCYAFALTSJYZDH-UHFFFAOYSA-N,CNCCCN1c2ccccc2CCc3ccccc13,-3.6576,-3.83
B-12,amitryptyline,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3",KRMDCWKBEZIMAB-UHFFFAOYSA-N,CN(C)CCC=C1c2ccccc2CCc3ccccc13,-4.4559,-4.79
B-13,reserpine,"InChI=1S/C33H40N2O9/c1-38-19-7-8-20-21-9-10-35-16-18-13-27(44-32(36)17-11-25(39-2)30(41-4)26(12-17)40-3)31(42-5)28(33(37)43-6)22(18)15-24(35)29(21)34-23(20)14-19/h7-8,11-12,14,18,22,24,27-28,31,34H,9-10,13,15-16H2,1-6H3/t18-,22+,24-,27-,28+,31+/m1/s1",QEVHRUUCFGRFIF-MDEJGZGSSA-N,CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,-3.9208,-4.73
B-14,niclosamide,"InChI=1S/C13H8Cl2N2O4/c14-7-1-4-12(18)9(5-7)13(19)16-11-3-2-8(17(20)21)6-10(11)15/h1-6,18H,(H,16,19)",RJMUSRYZPJIFPJ-UHFFFAOYSA-N,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+]([O-])=O,-5.3106,-4.61
