ID,Name,InChI,InChIKey,SMILES,Solubility,Prediction
C-1,"neopentyl  alcohol;  2,2-dimethyl-1-propanol","InChI=1S/C5H12O/c1-5(2,3)4-6/h6H,4H2,1-3H3",KPSSIOMAKSHJJG-UHFFFAOYSA-N,CC(C)(C)CO,-0.4,-0.16
C-2,methyl  isothiocyanate,InChI=1S/C2H3NS/c1-3-2-4/h1H3,LGDSHSYDSCRFAB-UHFFFAOYSA-N,CN=C=S,-1,-1.36
C-3,"1,3,5-trioxane",InChI=1S/C3H6O3/c1-4-2-6-3-5-1/h1-3H2,BGJSXRVXTHVRSN-UHFFFAOYSA-N,C1OCOCO1,0.29,0.94
C-4,acetamide,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",DLFVBJFMPXGRIB-UHFFFAOYSA-N,CC(N)=O,1.58,0.8
C-5,bis(2-hydroxypropyl)amine,"InChI=1S/C6H15NO2/c1-5(8)3-7-4-6(2)9/h5-9H,3-4H2,1-2H3",LVTYICIALWPMFW-UHFFFAOYSA-N,CC(O)CNCC(C)O,0.81,0.47
C-6,acrylamide,"InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)",HRPVXLWXLXDGHG-UHFFFAOYSA-N,NC(=O)C=C,0.95,0.23
C-7,thiourea,"InChI=1S/CH4N2S/c2-1(3)4/h(H4,2,3,4)",UMGDCJDMYOKAJW-UHFFFAOYSA-N,NC(N)=S,0.04,-0.55
C-8,dimethyl  oxalate,InChI=1S/C4H6O4/c1-7-3(5)4(6)8-2/h1-2H3,LOMVENUNSWAXEN-UHFFFAOYSA-N,COC(=O)C(=O)OC,-0.29,-0.22
C-9,glycine,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(O)=O,0.92,0.87
C-10,beta-alanine,"InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)",UCMIRNVEIXFBKS-UHFFFAOYSA-N,NCCC(O)=O,0.79,0.74
C-11,alpha-aminoisobutyric  acid;  2-methylalanine,"InChI=1S/C4H9NO2/c1-4(2,5)3(6)7/h5H2,1-2H3,(H,6,7)",FUOOLUPWFVMBKG-UHFFFAOYSA-N,CC(C)(N)C(O)=O,0.12,0.51
C-12,crotonic  acid (trans);  (e)-2-butenoic acid,"InChI=1S/C4H6O2/c1-2-3-4(5)6/h2-3H,1H3,(H,5,6)/b3-2+",LDHQCZJRKDOVOX-NSCUHMNNSA-N,C\C=C\C(O)=O,-0.01,0.07
C-13,"chloral  hydrate;  2,2,2-trichloro-1,1-ethanediol","InChI=1S/C2H3Cl3O2/c3-2(4,5)1(6)7/h1,6-7H",RNFNDJAIBTYOQL-UHFFFAOYSA-N,OC(O)C(Cl)(Cl)Cl,1.7,-0.58
