ID,Name,InChI,InChIKey,SMILES,Solubility,Prediction
H-1,Acenaphthalene  ,InChI=1S/C12H8/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-8H,HXGDTGSAIMULJN-UHFFFAOYSA-N,C1=CC2=C3C(=C1)C=CC3=CC=C2,-3.96,-5.01
H-2,Acetamide  ,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",DLFVBJFMPXGRIB-UHFFFAOYSA-N,CC(N)=O,1.58,0.8
H-3,Acetonitrile  ,InChI=1S/C2H3N/c1-2-3/h1H3,WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,0.26,-0.2
H-4,Acetophenone  ,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",KWOLFJPFCHCOCG-UHFFFAOYSA-N,CC(=O)C1=CC=CC=C1,-1.28,-1.95
H-5,Acrolein  ,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",HGINCPLSRVDWNT-UHFFFAOYSA-N,C=CC=O,0.97,0.28
H-6,Acrylaldehyde  ,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",HGINCPLSRVDWNT-UHFFFAOYSA-N,C=CC=O,0.57,0.28
H-7,Acrylamide  ,"InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)",HRPVXLWXLXDGHG-UHFFFAOYSA-N,C=CC(N)=O,0.98,0.23
H-8,Acrylonitrile  ,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",NLHHRLWOUZZQLW-UHFFFAOYSA-N,C=CC#N,0.15,-0.55
H-9,Amyl acetate  ,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",PGMYKACGEOXYJE-UHFFFAOYSA-N,CCCCCOC(C)=O,-1.89,-1.88
H-10,t-Amylbenzene  ,"InChI=1S/C11H16/c1-4-11(2,3)10-8-6-5-7-9-10/h5-9H,4H2,1-3H3",QHTJSSMHBLGUHV-UHFFFAOYSA-N,CCC(C)(C)C1=CC=CC=C1,-4.15,-4.57
H-11,Androstanedione  ,"InChI=1S/C19H28O2/c1-18-8-3-4-14(18)13-6-5-12-10-16(20)17(21)11-19(12,2)15(13)7-9-18/h12-15H,3-11H2,1-2H3",BVOKWOPQCAWSLV-UHFFFAOYSA-N,CC12CCCC1C1CCC3CC(=O)C(=O)CC3(C)C1CC2,-3.76,-5.92
H-12,Anisole  ,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",RDOXTESZEPMUJZ-UHFFFAOYSA-N,COC1=CC=CC=C1,-1.85,-1.54
H-13,Anthracene  ,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,MWPLVEDNUUSJAV-UHFFFAOYSA-N,C1=CC=C2C=C3C=CC=CC3=CC2=C1,-6.39,-5.57
H-14,Anthraquinone  ,InChI=1S/C14H8O2/c15-13-9-5-1-2-6-10(9)14(16)12-8-4-3-7-11(12)13/h1-8H,RZVHIXYEVGDQDX-UHFFFAOYSA-N,O=C1C2=CC=CC=C2C(=O)C2=C1C=CC=C2,-5.19,-3.65
H-15,Benzaldehyde  ,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N,O=CC1=CC=CC=C1,-1.19,-1.29
