Solubility,SLN
-3.96,C[1]H=CHC[5]=CHCH=CHC[12]CH=CHCH=C@1C@5=@12
1.58,C(CH3)(=O)NH2
0.26,C(CH3)#N
-1.28,C(CH3)(=O)C[7]CH=CHCH=CHCH=@7
0.97,CH(=O)CH=CH2
0.57,CH(CH=CH2)=O
0.98,C(CH=CH2)(=O)NH2
0.15,C(CH=CH2)#N
-1.89,C(CH3)(=O)OCH2CH2CH2CH2CH3
-4.15,C[1](CH=CHCH=CHCH=@1)C(CH2CH3)(CH3)CH3
-3.76,C[1](C(CH2C[6:s=N](CH(CH2@1)CH2CH2C[18:s=N]HC[20:s=I]HCH2CH2CH2C[s=I]@20(CH3)CH2CH2C[s=I]H@18@6)CH3)=O)=O
-1.85,CH3OC[6]CH=CHCH=CHCH=@6
-6.39,C[1]HCH=CHCH=C[9]CH=C[12]CH=CHCH=CHC@12=CHC=@1@9
-5.19,C[1]HCH=CHCH=C[9]C(=O)C[12]CH=CHCH=CHC=@12C(=O)C=@1@9
-1.19,CH(C[3]CH=CHCH=CHCH=@3)=O
-0.96,C(C[2]CH=CHCH=CHCH=@2)(=O)NH2
-1.64,C[1]HCH=CHCH=CHCH=@1
-6.68,C[1]H2C[4]C[5]C(CH=CHC=@4C[12]CH=CHCH=CHC@1=@12)=CHCH=CHCH=@5
-7.82,C[1]C(CH=C[5]CH=CHC[10]=CHCH=CHC[17]=CHCH=C@1C@5=C@10@17)=CHCH=CHCH=@1
-8.19,C[1]=C(CH=C[5]CH=CHC[10]=CHCH=CHC[17]=CHCH=C@1C@5=C@10@17)CH=CHCH=CH@1
-8.04,C[1]H2C[4]CH=C[7]C(=CHC=@4C[12]CH=CHCH=CHC@1=@12)CH=CHCH=CH@7
-1,C(C[2]CH=CHCH=CHCH=@2)#N
-3.12,C(C[2]CH=CHCH=CHCH=@2)(=O)C[14]CH=CHCH=CHCH=@14
-5.64,C(C[2]C(C(=O)OCH2C[10]CH=CHCH=CHCH=@10)=CHCH=CHCH=@2)(=O)OCH2CH2CH2CH3
-3.77,CH3C[5:s=N]C[s=I](C(CH2OC(CH2CH3)=O)=O)(OC(CH2CH3)=O)C[s=N]H(CH3)CH2C[s=I]H@5C[43:s=I]HCH2CH2C[51]=CHC(CH=CHC[s=N]@51(CH3)C@43(F)C[s=N]H(OH)CH2@5)=O
