ID,Name,InChI,InChIKey,SMILES,Solubility,Prediction
A-1,"2,6-Dimethylphenol","InChI=1S/C8H10O/c1-6-4-3-5-7(2)8(6)9/h3-5,9H,1-2H3",NXXYKOUNUYWIHA-UHFFFAOYSA-N,Cc1cccc(C)c1O,-1.2021585452850092,-1.30
A-2,2-[(4-tert-butylphenoxy)methyl]oxirane,"InChI=1S/C13H18O2/c1-13(2,3)10-4-6-11(7-5-10)14-8-12-9-15-12/h4-7,12H,8-9H2,1-3H3",HHRACYLRBOUBKM-UHFFFAOYSA-N,CC(C)(C)c1ccc(OCC2CO2)cc1,-3.430238879794399,-3.52
A-3,5-methoxy-1-[4-(trifluoromethyl)phenyl]pentan-1-one,"InChI=1S/C13H15F3O2/c1-18-9-3-2-4-12(17)10-5-7-11(8-6-10)13(14,15)16/h5-8H,2-4,9H2,1H3",VYKSRLDHXQURKA-UHFFFAOYSA-N,COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.544059700796643,-3.97
A-4,2-[[4-[2-[4-(oxiran-2-ylmethoxy)phenyl]propan-2-yl]phenoxy]methyl]oxirane,"InChI=1S/C21H24O4/c1-21(2,15-3-7-17(8-4-15)22-11-19-13-24-19)16-5-9-18(10-6-16)23-12-20-14-25-20/h3-10,19-20H,11-14H2,1-2H3",LCFVJGUPQDGYKZ-UHFFFAOYSA-N,CC(C)(c1ccc(OCC2CO2)cc1)c3ccc(OCC4CO4)cc3,-4.763375690367275,-5.62
A-5,4-(7-methyloctyl)phenol,"InChI=1S/C15H24O/c1-13(2)7-5-3-4-6-8-14-9-11-15(16)12-10-14/h9-13,16H,3-8H2,1-2H3",JSFITYFUKSFPBZ-UHFFFAOYSA-N,CC(C)CCCCCCc1ccc(O)cc1,-4.587250024593983,-5.25
A-6,"1,3-di(prop-1-en-2-yl)benzene","InChI=1S/C12H14/c1-9(2)11-6-5-7-12(8-11)10(3)4/h5-8H,1,3H2,2,4H3",IBVPVTPPYGGAEL-UHFFFAOYSA-N,CC(=C)c1cccc(c1)C(C)=C,-4.451139225229536,-3.51
A-7,benzyl-dimethyl-tetradecylazanium chloride,"InChI=1S/C23H42N.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;/h15-17,19-20H,4-14,18,21-22H2,1-3H3;1H/q+1;/p-1",OCBHHZMJRVXXQK-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,-0.9531217853585955,999
A-8,"difluoronickel
nickel(+2) cation difluoride",InChI=1S/2FH.Ni/h2*1H;/q;;+2/p-2,DBJLJFTWODWSOF-UHFFFAOYSA-L,[F-].[F-].[Ni++],-0.38331707726345404,999
A-9,"2,4-Dichlorophenol","InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",HFZWRUODUSTPEG-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Cl,-1.5219995174518621,-1.82
A-10,disodium (3E)-7-(benzoylamino)-4-oxo-3-[[4-(4-sulfonatophenyl)diazenylphenyl]hydrazinylidene]naphthalene-2-sulfonate,"InChI=1S/C29H21N5O8S2.2Na/c35-28-25-15-12-23(30-29(36)18-4-2-1-3-5-18)16-19(25)17-26(44(40,41)42)27(28)34-33-21-8-6-20(7-9-21)31-32-22-10-13-24(14-11-22)43(37,38)39;;/h1-17,33H,(H,30,36)(H,37,38,39)(H,40,41,42);;/q;2*+1/p-2/b32-31?,34-27-;;",OTPBDPKSNGORHR-ATQPHANLSA-L,[Na+].[Na+].[O-][S](=O)(=O)c1ccc(cc1)N=Nc2ccc(N\N=C\3C(=O)c4ccc(NC(=O)c5ccccc5)cc4C=C3[S]([O-])(=O)=O)cc2,-2.156676447635528,999
A-11,sodium 6-imino-4-oxo-5-[2-(2-phenylsulfonylphenyl)hydrazinyl]naphthalene-2-sulfonate,"InChI=1S/C22H17N3O6S2.Na/c23-17-11-10-14-12-16(33(29,30)31)13-19(26)21(14)22(17)25-24-18-8-4-5-9-20(18)32(27,28)15-6-2-1-3-7-15;/h1-13,23-25H,(H,29,30,31);/q;+1/p-1",BGMJITJZTOJVQD-UHFFFAOYSA-M,[Na+].[O-][S](=O)(=O)C1=CC(=O)C2=C(NNc3ccccc3[S](=O)(=O)c4ccccc4)C(=N)C=CC2=C1,-2.0888316760710217,999
A-12,tetrakis(hydroxymethyl)phosphanium sulfate,"InChI=1S/2C4H12O4P.H2O4S/c2*5-1-9(2-6,3-7)4-8;1-5(2,3)4/h2*5-8H,1-4H2;(H2,1,2,3,4)/q2*+1;/p-2",YIEDHPBKGZGLIK-UHFFFAOYSA-L,OC[P+](CO)(CO)CO.OC[P+](CO)(CO)CO.[O-][S]([O-])(=O)=O,1.967512699576779,999
A-13,Tetraoctylstannane,"InChI=1S/4C8H17.Sn/c4*1-3-5-7-8-6-4-2;/h4*1,3-8H2,2H3;",JTGNPNLBCGBCMP-UHFFFAOYSA-N,CCCCCCCC[Sn](CCCCCCCC)(CCCCCCCC)CCCCCCCC,-6.757097538598217,-7.99
A-14,XXX,InChI=1S/3C18H15P.Cl.Rh/c3*1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;;/h3*1-15H;;,TZKOFQQLYGJWKC-UHFFFAOYSA-N,[Cl].[Rh].c1ccc(cc1)P(c2ccccc2)c3ccccc3.c4ccc(cc4)P(c5ccccc5)c6ccccc6.c7ccc(cc7)P(c8ccccc8)c9ccccc9,-7.012009543560427,-6.06
A-15,methane; niobium,InChI=1S/CH4.Nb/h1H4;,CLOIETWQBJYMFR-UHFFFAOYSA-N,C.[Nb],-7.226318967713712,0.15
A-16,"(4E)-N-[2,5-dichloro-4-[[(4Z)-4-[(2,5-dichlorophenyl)hydrazinylidene]-3-oxonaphthalene-2-carbonyl]amino]phenyl]-4-[(2,5-dichlorophenyl)hydrazinylidene]-3-oxonaphthalene-2-carboxamide","InChI=1S/C40H22Cl6N6O4/c41-21-9-11-27(43)33(15-21)49-51-35-23-7-3-1-5-19(23)13-25(37(35)53)39(55)47-31-17-30(46)32(18-29(31)45)48-40(56)26-14-20-6-2-4-8-24(20)36(38(26)54)52-50-34-16-22(42)10-12-28(34)44/h1-18,49-50H,(H,47,55)(H,48,56)/b51-35-,52-36+",MNLBCOXUPUYNFP-AQWQROAZSA-N,Clc1ccc(Cl)c(N\N=C2/C(=O)C(=Cc3ccccc23)C(=O)Nc4cc(Cl)c(NC(=O)C5=Cc6ccccc6C(=N/Nc7cc(Cl)ccc7Cl)\C5=O)cc4Cl)c1,-8.15086812494224,-7.09
A-17,"2,6,10-TRIMETHYLDODECANE","InChI=1S/C15H32/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h13-15H,6-12H2,1-5H3",YFHFHLSMISYUAQ-UHFFFAOYSA-N,CCC(C)CCCC(C)CCCC(C)C,-8.929257440334819,-6.72
A-18,"O1-octyl O2-(phenylmethyl) benzene-1,2-dicarboxylate","InChI=1S/C23H28O4/c1-2-3-4-5-6-12-17-26-22(24)20-15-10-11-16-21(20)23(25)27-18-19-13-8-7-9-14-19/h7-11,13-16H,2-6,12,17-18H2,1H3",WHHSHXMIKFVAEK-UHFFFAOYSA-N,CCCCCCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2,-9.265375674602696,-6.43
A-19,Chromium,InChI=1S/Cr,VYZAMTAEIAYCRO-UHFFFAOYSA-N,[Cr],-10.01699993074598,1.08
